algorithm,cases_total,cases_feasible,feasible_rate,avg_time_ms,avg_path_length,avg_turn_count,avg_expanded_nodes,avg_cost
AStar,9,6,0.666666666666667,15.6587333333333,57,4,547.5,56
Dijkstra,9,6,0.666666666666667,15.6620444444444,57,2.83333333333333,856.833333333333,56
ImprovedAStar_P0,9,6,0.666666666666667,26.6953333333333,57.6666666666667,3.66666666666667,185.166666666667,60.3333333333333
ImprovedAStar_P80,9,6,0.666666666666667,22.9968888888889,57.6666666666667,2.16666666666667,222.333333333333,65.3506666666667
ImprovedAStar_P150,9,6,0.666666666666667,16.6176777777778,57.6666666666667,2,257.333333333333,79.7904166666667
