Generation,GD_exp,SP_exp,GD_base,SP_base
1,0.688471443274273,0.228882138782606,0.970422277808121,NaN
2,0.688471443274273,0.228882138782606,0.970422277808121,NaN
3,0.656023485364466,0.154147701052117,0.970422277808121,NaN
4,0.595351121110442,0.0820536943823678,0.634220852691891,0
5,0.490946342686128,0.12820012530462,0.634220852691891,0
6,0.412057545627786,0.1351768151778,0.634220852691891,0
7,0.382557683515392,0.129521150222599,0.627826405609037,0
8,0.382557683515392,0.129521150222599,0.627826405609037,0
9,0.435154208151482,0.0762302220042046,0.558201991975545,0
10,0.435154208151482,0.0762302220042046,0.558201991975545,0
11,0.389266490485278,0.0416642607173767,0.558201991975545,0
12,0.389266490485278,0.0416642607173767,0.558201991975545,0
13,0.389266490485278,0.0416642607173767,0.558201991975545,0
14,0.408676442220851,0.116857755189486,0.558201991975545,0
15,0.370816377583002,0.105059525310744,0.558201991975545,0
16,0.349651904752234,0.106165883888756,0.558201991975545,0
17,0.325885736830569,0.0745699223942127,0.558201991975545,0
18,0.325885736830569,0.0745699223942127,0.558201991975545,0
19,0.325885736830569,0.0745699223942127,0.558201991975545,0
20,0.325885736830569,0.0745699223942127,0.558201991975545,0
21,0.325885736830569,0.0745699223942127,0.558201991975545,0
22,0.325885736830569,0.0745699223942127,0.558201991975545,0
23,0.325885736830569,0.0745699223942127,0.558201991975545,0
24,0.3606921858919,0,0.558201991975545,0
25,0.3606921858919,0,0.558201991975545,0
26,0.239134288917753,0,0.558201991975545,0
27,0.239134288917753,0,0.558201991975545,0
28,0.239134288917753,0,0.558201991975545,0
29,0.239134288917753,0,0.558201991975545,0
30,0.239134288917753,0,0.558201991975545,0
31,0.20954882285965,0.0175827670061354,0.455954847108657,0.0682814345010252
32,0.206289054379407,0.0298155153852822,0.455954847108657,0.0682814345010252
33,0.199698385445655,0,0.455954847108657,0.0682814345010252
34,0.199698385445655,0,0.396701597718391,5.76888805915069e-16
35,0.199698385445655,0,0.396701597718391,5.76888805915069e-16
36,0.199698385445655,0,0.396701597718391,5.76888805915069e-16
37,0.199698385445655,0,0.396701597718391,5.76888805915069e-16
38,0.199698385445655,0,0.396701597718391,5.76888805915069e-16
39,0.199698385445655,0,0.396701597718391,5.76888805915069e-16
40,0.199698385445655,0,0.396701597718391,5.76888805915069e-16
41,0.199698385445655,0,0.396701597718391,5.76888805915069e-16
42,0.199698385445655,0,0.396701597718391,5.76888805915069e-16
43,0.199698385445655,0,0.396701597718391,5.76888805915069e-16
44,0.199698385445655,0,0.394550147520999,0.0165090379825533
45,0.151259627758764,0,0.453234474853888,0.0352633585359186
46,0.151259627758764,0,0.453234474853888,0.0352633585359186
47,0.151259627758764,0,0.449758597594951,0.0682814345010264
48,0.151259627758764,0,0.449758597594951,0.0682814345010264
49,0.151259627758764,0,0.449758597594951,0.0682814345010264
50,0.151259627758764,0,0.387496679346164,5.76888805915069e-16
51,0.151259627758764,0,0.387496679346164,5.76888805915069e-16
52,0.151259627758764,0,0.387496679346164,5.76888805915069e-16
53,0.151259627758764,0,0.387496679346164,5.76888805915069e-16
54,0.144786333216943,0,0.387496679346164,5.76888805915069e-16
55,0.144786333216943,0,0.387496679346164,5.76888805915069e-16
56,0.144786333216943,0,0.387496679346164,5.76888805915069e-16
57,0.144786333216943,0,0.387496679346164,5.76888805915069e-16
58,0.144786333216943,0,0.387496679346164,5.76888805915069e-16
59,0.144786333216943,0,0.387496679346164,5.76888805915069e-16
60,0.144786333216943,0,0.387496679346164,5.76888805915069e-16
61,0.144786333216943,0,0.387496679346164,5.76888805915069e-16
62,0.12140382877755,0.0196004747873062,0.387496679346164,5.76888805915069e-16
63,0.113451986652016,0.00200293115133114,0.387496679346164,5.76888805915069e-16
64,0.10255637424262,0.0124668224098418,0.387496679346164,5.76888805915069e-16
65,0.10255637424262,0.0124668224098418,0.387496679346164,5.76888805915069e-16
66,0.10255637424262,0.0124668224098418,0.387496679346164,5.76888805915069e-16
67,0.10255637424262,0.0124668224098418,0.387496679346164,5.76888805915069e-16
68,0.0993033215770187,0.0264385776081825,0.387496679346164,5.76888805915069e-16
69,0.0993033215770187,0.0264385776081825,0.387496679346164,5.76888805915069e-16
70,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
71,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
72,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
73,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
74,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
75,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
76,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
77,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
78,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
79,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
80,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
81,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
82,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
83,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
84,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
85,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
86,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
87,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
88,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
89,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
90,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
91,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
92,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
93,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
94,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
95,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
96,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
97,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
98,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
99,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
100,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
101,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
102,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
103,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
104,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
105,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
106,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
107,0.0803414325565701,NaN,0.387496679346164,5.76888805915069e-16
