Generation,GD_exp,SP_exp,GD_base,SP_base
1,0.794347492899945,0.225333496296313,0.510155860884551,0.195638757647522
2,0.631366063887781,0.214016568541924,0.496032941225409,0.179189817646031
3,0.496037529998194,0.0580205820541464,0.555669004023805,0.214602922813825
4,0.496037529998194,0.0580205820541464,0.551543888431476,0.230422559430613
5,0.534360282312722,0.156758685189155,0.498352150167581,0.199610952672809
6,0.52123954708786,0.0986720865018108,0.553373671579771,0.0816196670244236
7,0.461640920401178,0.0642866003662311,0.553373671579771,0.0816196670244236
8,0.444303671130784,NaN,0.553373671579771,0.0816196670244236
9,0.444303671130784,NaN,0.553373671579771,0.0816196670244236
10,0.444303671130784,NaN,0.553373671579771,0.0816196670244236
11,0.444303671130784,NaN,0.553373671579771,0.0816196670244236
12,0.444303671130784,NaN,0.553373671579771,0.0816196670244236
13,0.444303671130784,NaN,0.553373671579771,0.0816196670244236
14,0.444303671130784,NaN,0.553373671579771,0.0816196670244236
15,0.444303671130784,NaN,0.553373671579771,0.0816196670244236
16,0.377794310099723,0,0.410215437687427,0.154768664282504
17,0.377794310099723,0,0.410215437687427,0.154768664282504
18,0.377794310099723,0,0.641220433979282,NaN
19,0.377794310099723,0,0.641220433979282,NaN
20,0.377794310099723,0,0.508911486193105,0
21,0.377794310099723,0,0.508911486193105,0
22,0.377794310099723,0,0.508911486193105,0
23,0.377794310099723,0,0.508911486193105,0
24,0.377794310099723,0,0.508911486193105,0
25,0.377794310099723,0,0.508911486193105,0
26,0.325719446040505,0.144932650318738,0.508911486193105,0
27,0.325719446040505,0.144932650318738,0.509613858269207,NaN
28,0.292850351103381,0.118650913920745,0.509613858269207,NaN
29,0.273398102595865,0.166932687214094,0.509613858269207,NaN
30,0.273398102595865,0.166932687214094,0.509613858269207,NaN
31,0.273398102595865,0.166932687214094,0.509613858269207,NaN
32,0.273398102595865,0.166932687214094,0.509613858269207,NaN
33,0.255204324410848,0.076479160731915,0.509613858269207,NaN
34,0.255204324410848,0.076479160731915,0.432543082340886,0
35,0.255204324410848,0.076479160731915,0.432543082340886,0
36,0.255204324410848,0.076479160731915,0.432543082340886,0
37,0.255204324410848,0.076479160731915,0.432543082340886,0
38,0.255204324410848,0.076479160731915,0.431987207843263,0
39,0.255204324410848,0.076479160731915,0.431987207843263,0
40,0.255204324410848,0.076479160731915,0.431987207843263,0
41,0.229551838263432,0.08512500564483,0.431987207843263,0
42,0.229551838263432,0.08512500564483,0.431987207843263,0
43,0.229551838263432,0.08512500564483,0.431987207843263,0
44,0.229551838263432,0.08512500564483,0.431987207843263,0
45,0.229551838263432,0.08512500564483,0.431987207843263,0
46,0.229551838263432,0.08512500564483,0.356401456908106,0.0247402965479104
47,0.229551838263432,0.08512500564483,0.356401456908106,0.0247402965479104
48,0.229551838263432,0.08512500564483,0.356401456908106,0.0247402965479104
49,0.229551838263432,0.08512500564483,0.356401456908106,0.0247402965479104
50,0.229551838263432,0.08512500564483,0.356401456908106,0.0247402965479104
