Generation,GD_exp,SP_exp,GD_base,SP_base
1,0.542485564833382,0.189222652453458,0.6876080548296,NaN
2,0.599596165262674,0.0343553911035035,0.475929003995424,0.0532160368747411
3,0.595616107324401,0,0.387594555478322,0.0447336146305471
4,0.468041511216859,0.101762697946503,0.336505169759227,0.0347745519696076
5,0.387866843975785,0.160518868303877,0.318246014841876,0.0853465427051005
6,0.335405812764842,0.0750728646136306,0.418882777840277,NaN
7,0.308373922351108,0.0589031589650956,0.418882777840277,NaN
8,0.481542500927007,NaN,0.330083323284508,0
9,0.481542500927007,NaN,0.330083323284508,0
10,0.481542500927007,NaN,0.392860788860226,NaN
11,0.481542500927007,NaN,0.427323727397462,0
12,0.481542500927007,NaN,0.427323727397462,0
13,0.352848774848811,0,0.304443009270423,0
14,0.352848774848811,0,0.27376384592139,0
15,0.352848774848811,0,0.225694961242535,0.00341990005637551
16,0.352848774848811,0,0.13241837786613,NaN
17,0.352848774848811,0,0.13241837786613,NaN
18,0.352848774848811,0,0.13241837786613,NaN
19,0.352848774848811,0,0.13241837786613,NaN
20,0.352848774848811,0,0.13241837786613,NaN
21,0.352848774848811,0,0.13241837786613,NaN
22,0.252432909165194,0.0828957331178425,0.13241837786613,NaN
23,0.241867997381596,0.0873360253558423,0.13241837786613,NaN
24,0.216547200690564,0.0308551791971156,0.13241837786613,NaN
25,0.192658608740672,0.0551724707152563,0.113013887629905,0
26,0.192658608740672,0.0551724707152563,0.113013887629905,0
27,0.192658608740672,0.0551724707152563,0.112981863136139,0
28,0.181170492342153,0.0532389363071147,0.112981863136139,0
29,0.181170492342153,0.0532389363071147,0.101536859498399,NaN
30,0.181170492342153,0.0532389363071147,0.0940082201730744,0
31,0.165315927517914,0.0494773140981999,0.0940082201730744,0
32,0.165315927517914,0.0494773140981999,0.0940082201730744,0
33,0.154456644787287,0.0442303332327581,0.0655335346392394,0
34,0.154456644787287,0.0442303332327581,0.0655069869317555,0
35,0.154456644787287,0.0442303332327581,0.0654408312063431,0
36,0.146418912937325,0.042491204879354,0.0654408312063431,0
