Generation,GD_exp,SP_exp,GD_base,SP_base
1,0.754726229298205,0,0.692959972889465,0.142018018538248
2,0.754726229298205,0,0.894041871772858,NaN
3,0.437856662503212,0.22422959762366,0.600060821923657,0
4,0.437856662503212,0.22422959762366,0.600060821923657,0
5,0.411625791923808,0.193088720940907,0.483747088733218,0.0174887781860941
6,0.376373186189906,0.241343664130544,0.420935388554602,0.451754064786869
7,0.376373186189906,0.241343664130544,0.3714461252496,0.340624444596678
8,0.307062378340067,0.0987165601954043,0.318150960686954,0.28139090571389
9,0.325699000778698,0.0862375726259533,0.299403088550282,0.276276453384891
10,0.3320530686021,0.085821679393291,0.302963254418303,0.24327953742565
11,0.3320530686021,0.085821679393291,0.338573353323762,0.128092140240372
12,0.276088896610312,NaN,0.338573353323762,0.128092140240372
13,0.24706657531576,0,0.303697889411303,0.0495865387332145
14,0.24706657531576,0,0.247127688972831,0.0689487584055651
15,0.186641996124437,0,0.250623032465338,0.0622362507265835
16,0.186641996124437,0,0.285269566079377,0
17,0.186641996124437,0,0.285269566079377,0
18,0.186641996124437,0,0.374804472076534,NaN
19,0.186641996124437,0,0.374804472076534,NaN
20,0.158773268338529,0.0645927654985349,0.374804472076534,NaN
21,0.158773268338529,0.0645927654985349,0.374804472076534,NaN
22,0.158773268338529,0.0645927654985349,0.374804472076534,NaN
23,0.150589385939078,0.040313668029478,0.374804472076534,NaN
24,0.150589385939078,0.040313668029478,0.374804472076534,NaN
25,0.132933205128999,0.0988192049831604,0.364461774071597,0
26,0.12378575710851,0.0709814274523999,0.364461774071597,0
27,0.104222848967563,0.00867208795184433,0.364461774071597,0
28,0.104222848967563,0.00867208795184433,0.364461774071597,0
29,0.108249917096294,0.11237061338205,0.364461774071597,0
30,0.108249917096294,0.11237061338205,0.364461774071597,0
31,0.108249917096294,0.11237061338205,0.364461774071597,0
32,0.108249917096294,0.11237061338205,0.306199142655155,0
33,0.0970482397192281,0.0754158710706045,0.306156423815421,0
34,0.0807050547219162,0,0.306156423815421,0
35,0.0698963910048213,0,0.306156423815421,0
36,0.0698963910048213,0,0.306156423815421,0
37,0.0698963910048213,0,0.306156423815421,0
38,0.00192362778191226,NaN,0.245093657218213,0.0618771447549033
39,0.00192362778191226,NaN,0.245093657218213,0.0618771447549033
40,0.00192362778191226,NaN,0.226558737845867,0.0021211651402593
41,0.00192362778191226,NaN,0.226558737845867,0.0021211651402593
42,0.00192362778191226,NaN,0.226558737845867,0.0021211651402593
43,0.00192362778191226,NaN,0.226558737845867,0.0021211651402593
44,0.00192362778191226,NaN,0.253441821102063,0
45,0.00192362778191226,NaN,0.201979592100471,0.071861444359008
46,0.00192362778191226,NaN,0.201979592100471,0.071861444359008
47,0.00192362778191226,NaN,0.201948030488749,0.0717432946762726
48,0.0505353333538596,0,0.194077634310905,0.0494970703319501
49,0.0505353333538596,0,0.193992333135186,0.0491898811568393
50,0.0505353333538596,0,0.193992333135186,0.0491898811568393
51,0.0505353333538596,0,0.193992333135186,0.0491898811568393
52,0.0505353333538596,0,0.193992333135186,0.0491898811568393
53,0.0505353333538596,0,0.193752482102806,0
54,0.0505353333538596,0,0.193752482102806,0
55,0.0505353333538596,0,0.193752482102806,0
56,0.0505353333538596,0,0.157958149176259,0.0035021425207275
57,0.0505353333538596,0,0.177444120542719,0
58,0.0505353333538596,0,0.146252681194659,0.0828332784663538
59,0.0505353333538596,0,0.146252681194659,0.0828332784663538
60,0.0505353333538596,0,0.12741767364502,0.000307189175109929
61,0.0505353333538596,0,0.12741767364502,0.000307189175109929
62,0.0505353333538596,0,0.12741767364502,0.000307189175109929
63,0.0505353333538596,0,0.11502913714634,0.00429990712034345
64,0.0505353333538596,0,0.114989223566207,0.00403504576325645
65,0.0505353333538596,0,0.114989223566207,0.00403504576325645
66,0.0505353333538596,0,0.136697262735296,0.221002418068109
67,0.0505353333538596,0,0.12239714102296,0.16060008061492
68,0.0505353333538596,0,0.133072145148373,0.0532742662899171
69,0.0505353333538596,0,0.135264742732052,0.223673071460641
70,0.0505353333538596,0,0.135264742732052,0.223673071460641
71,0.0505353333538596,0,0.153831793639479,0.24564177974692
72,0.0505353333538596,0,0.121197697098777,0.0257389265081604
73,0.0505353333538596,0,0.107645263940117,0.0245241002099806
74,0.0157271199256104,0,0.107645263940117,0.0245241002099806
