Generation,GD_exp,SP_exp,GD_base,SP_base
1,0.0730699874632875,0.0277485952075126,0.0648138169174819,0.0354714476919216
2,0.0607649043751168,0.027930974941706,0.0562578533250898,0.0331118253428427
3,0.0529795852532915,0.0261467540606586,0.0499771705551818,0.0318638277878305
4,0.0487796782920049,0.0242882318602566,0.0460259571437373,0.0282041175047036
5,0.0478224364032078,0.0229679027903359,0.0447058488901869,0.0256290541811515
6,0.0472092704846524,0.021559929092967,0.0442735254326756,0.0250511297467128
7,0.0465275854657286,0.0207261819732844,0.0440240630405267,0.0246847683275196
8,0.0464734307882383,0.0204441928096531,0.0437942392263418,0.0239668146333512
9,0.0459917890802384,0.0203775638064262,0.0436426619440919,0.0249104770581331
10,0.0459684012400606,0.0200678528497447,0.0430857547478813,0.0238921454486149
11,0.0458018961841162,0.0199057976604896,0.042747664040805,0.0227027720138087
12,0.0457224852099107,0.0192528033285019,0.0425138191525724,0.0228564829408333
13,0.0456539478876595,0.0190442446078454,0.0422989895339013,0.0225444658676824
14,0.0455178637644957,0.0188340999506752,0.042075469283745,0.0225248638188218
15,0.0451054310985833,0.0188793755915063,0.04165176179996,0.0239509321037226
16,0.044751936981819,0.0256104677796726,0.0416900743114723,0.0234688447056792
17,0.0444004681721318,0.0255510011577203,0.0416735292004756,0.0233567677166063
18,0.0443273562766964,0.0255353321104173,0.0411816358566962,0.0234337877670954
19,0.0441424056048725,0.0248288430306852,0.0411686792247195,0.0233219110467136
20,0.0437656950153738,0.0238244939585387,0.0411956045547955,0.0225571688764994
21,0.0437638527917031,0.0238445881140003,0.041154614292063,0.0224948404512578
22,0.0437686723090611,0.0235833134296814,0.0411377900196765,0.022569449323836
23,0.0437854930610028,0.0235453799731741,0.0409891826886856,0.0225803742660769
24,0.0434809481300337,0.0235657891440354,0.0408940503877373,0.0226103373564153
25,0.0434687506058298,0.0235624935866494,0.0406032260765968,0.0228332045379435
26,0.0433004896258493,0.0205873768006756,0.0405228969219081,0.0224584238465549
27,0.0430313623726137,0.0204108147323939,0.0403605600383652,0.0223926013509008
28,0.0430285403813449,0.0203857267777714,0.0403613083429167,0.0223609052685558
29,0.0430689046106245,0.0203467043811809,0.0403810297160164,0.0222303307755933
30,0.0427047664874101,0.0202934112992348,0.0403810297160164,0.0222303307755933
31,0.042645864009861,0.0201640624923221,0.0403242418075896,0.0221733608669246
32,0.0426482017680271,0.0203159721171028,0.0403060663447868,0.0220995098639878
33,0.0426523065956117,0.0201487957352512,0.0403060663447868,0.0220995098639878
34,0.0422629113861581,0.0198812383017999,0.0402271695030619,0.0219903202091536
35,0.0422548332006379,0.019897393160125,0.0402716148020645,0.0219753980812994
36,0.0420456151369154,0.0193862692481551,0.0402853703329455,0.0219877762896347
37,0.0420457106769732,0.0193305046229225,0.0402853703329455,0.0219877762896347
38,0.0420426779177576,0.0194205366612534,0.0402353137208967,0.0220122408947252
39,0.0420426779177576,0.0194205366612534,0.0402885561146801,0.0222079154115119
40,0.0418420665026657,0.0194211582768347,0.0402589045902737,0.0220135265802525
41,0.0416845837931124,0.0196212352847693,0.0402589045902737,0.0220135265802525
42,0.0416856296232648,0.019624598283954,0.0401918141925131,0.0220339186865695
43,0.0415977796869242,0.0194503472329253,0.0401528565861474,0.0221423213495906
44,0.0413547210539344,0.01950062275473,0.0401528565861474,0.0221423213495906
45,0.0413580588340511,0.0195367326630298,0.0400971177932552,0.022101585464966
46,0.0413546706032994,0.0196193237644374,0.0401309037623549,0.0221371053954759
47,0.0413541668515969,0.0194225527025138,0.0401123081261372,0.0220852902263466
48,0.0413541668515969,0.0194225527025138,0.0400495168693455,0.0220782028960659
49,0.041342858948876,0.0196528624607562,0.0400499037647824,0.0220514530189208
50,0.041342858948876,0.0196528624607562,0.0400160343421238,0.0219984135692534
51,0.0413495980745028,0.0194377135672267,0.0400165944862846,0.0219546545374319
52,0.0413284665218647,0.0193998189739162,0.0400358449235063,0.0218722315833025
53,0.0413245176555613,0.0195262073286919,0.0400358449235063,0.0218722315833025
54,0.0413270490916041,0.019532305710557,0.0399217862539612,0.0219259035371845
55,0.0413267949444961,0.0194094212443294,0.0397892832363862,0.0218477581355877
56,0.0411461039472166,0.0194083713183704,0.0397909229229059,0.0218710996624118
57,0.0411461014807995,0.0194079753289103,0.0397915780706538,0.021995644354069
58,0.0411461014293319,0.0194079230473104,0.039744384741742,0.0218444554993865
59,0.0411474558842711,0.0195916295478135,0.0397450450121021,0.0219840778059557
60,0.0411446133561879,0.0194508875619213,0.0397355867737551,0.0219165738835875
61,0.0411419985997974,0.0195438268816824,0.0397568475636047,0.0219412410421076
62,0.0411419985997974,0.0195438268816824,0.0397022222395339,0.0220033306810686
63,0.0411419985997974,0.0195438268816824,0.0397023221341631,0.0220041514747807
64,0.0411419985997974,0.0195438268816824,0.0394105381767728,0.0214752150354811
65,0.0411419985997974,0.0195438268816824,0.0394062569484498,0.0214779548374412
66,0.0411419985997974,0.0195438268816824,0.0393996289791529,0.0214692235663882
67,0.0411419996662839,0.0195438179023252,0.0391779763286003,0.0214727900955082
68,0.0411414934840313,0.0195451295253345,0.0391782460496059,0.0214561515321587
69,0.0411407082969576,0.0195477319670303,0.0390859477679752,0.0213952654334262
70,0.0411649250630242,0.019443145717756,0.0388989197753193,0.0215072595593778
71,0.0411773600770199,0.0193892657308708,0.038901101495843,0.0215949476160347
72,0.0411773600770199,0.0193892657308708,0.0389388754199477,0.0215492517912653
73,0.0411691204596427,0.0193700109194383,0.0389149259374274,0.0215293770125565
