Generation,GD_exp,SP_exp,GD_base,SP_base
1,0.897537689238235,0,1.11739152926531,NaN
2,0.747288951426922,0.214851369305932,0.673676750484811,NaN
3,0.597921587372723,0,0.50727979725889,0
4,0.504213585948515,0.18682006368748,0.50727979725889,0
5,0.504213585948515,0.18682006368748,0.420355511284966,0.0695422843131643
6,0.402756526122034,0.236493757584558,0.374865118605668,0.0576269581150697
7,0.334077364855909,0.0794715088999177,0.410775936082768,0.100154126550498
8,0.383988700306619,0,0.301090898648681,0.424301251732999
9,0.225747923788588,0.0861187822185009,0.301090898648681,0.424301251732999
10,0.338580839128538,0,0.251924661361571,0.186912235030409
11,0.323072688433659,0,0.326764114793091,0.520328240726682
12,0.289745180549581,0.112139620203054,0.220154312401078,0
13,0.256012888173617,0.084363487669936,0.107646337058847,0
14,0.203842178439411,NaN,0.107646337058847,0
15,0.203842178439411,NaN,0.107646337058847,0
16,0.203842178439411,NaN,0.107646337058847,0
17,0.203842178439411,NaN,0.107646337058847,0
18,0.203842178439411,NaN,0.107646337058847,0
19,0.0922665349324931,0,0.107646337058847,0
20,0.0922665349324931,0,0.0289437357857236,NaN
21,0.0922665349324931,0,0.0289437357857236,NaN
22,0.0922665349324931,0,0.0289437357857236,NaN
23,0.0922665349324931,0,0.0276781002366924,NaN
24,0.0922665349324931,0,0.0276781002366924,NaN
25,0.0922665349324931,0,0.0276781002366924,NaN
26,0.0922665349324931,0,0.0276781002366924,NaN
27,0.0922665349324931,0,0.0276781002366924,NaN
28,0.0922665349324931,0,0.0276781002366924,NaN
29,0.0726283891228721,0.03632721251835,0.0276781002366924,NaN
30,0.0726283891228721,0.03632721251835,0.0276781002366924,NaN
31,0.0726283891228721,0.03632721251835,0.107221469301131,0
32,0.0534004111451945,0.0155778431551045,0.107221469301131,0
33,0.0517545810821415,0.0159504086973718,0.107221469301131,0
34,0.0765439805960222,0.0912064056237222,0.107204902466247,0
35,0.0843181116333313,0.0215303040901703,0.0378998406338461,0
36,0.0835686130687107,0.0343759552123551,0.0378998406338461,0
37,0.0835686130687107,0.0343759552123551,0.0378998406338461,0
38,0.101708551537907,0.00546133573043719,0.0378998406338461,0
39,0.101708551537907,0.00546133573043719,0.027280650698485,NaN
40,0.101708551537907,0.00546133573043719,0.107170097574361,0
41,0.0829245042155932,0.0187188381920821,0.037845896754387,0
42,0.101704521366152,0.00547464977517488,0.037845896754387,0
43,0.0485378496824814,0.0482568554408505,0.037845896754387,0
44,0.0485378496824814,0.0482568554408505,0.037845896754387,0
45,0.0430366361238167,0.0440300841457909,0.037845896754387,0
46,0.0429970289669137,0.0439587121408504,0.037845896754387,0
47,0.0379059235929456,0.0484578862582262,0.0377795295665855,0
48,0.0338635279058015,0.0668206373092265,0.0377795295665855,0
49,0.0338635279058015,0.0668206373092265,0.0377795295665855,0
50,0.0262137433257086,0,0.0377795295665855,0
51,0.00301050100516056,0,0.037721477037224,0
52,0.00301050100516056,0,0.037721477037224,0
53,0.00301050100516056,0,0.0377189657758168,0
54,0.00301050100516056,0,0.0377189657758168,0
55,0.00301050100516056,0,0.0377189657758168,0
56,0.00301050100516056,0,0.0377189657758168,0
57,0.00301050100516056,0,0.0376972474035354,0
58,0.00301050100516056,0,0.0376972474035354,0
59,0.00301050100516056,0,0.0376950942761818,0
60,0.00301050100516056,0,0.0376309413167802,0
61,0.00301050100516056,0,0.0376309413167802,0
62,0.00301050100516056,0,0.0376309413167802,0
63,0.00301050100516056,0,0.0376309413167802,0
64,0.00301050100516056,0,0.0376309413167802,0
65,0.00301050100516056,0,0.0375968966430643,0
66,0.00301050100516056,0,0.0375760630139616,0
67,0.00301050100516056,0,0.0375760630139616,0
68,0.00301050100516056,0,0.0375760630139616,0
69,0.00301050100516056,0,0.0375760630139616,0
70,0.00301050100516056,0,0.0375760630139616,0
71,0.00301050100516056,0,0.0375760630139616,0
72,0.00301050100516056,0,0.0375760630139616,0
73,0.00301050100516056,0,0.0375760630139616,0
74,0.00301050100516056,0,0.0375760630139616,0
75,0.00301050100516056,0,0.0375760630139616,0
