algorithm,cases_total,cases_feasible,feasible_rate,avg_time_ms,avg_path_length,avg_turn_count,avg_expanded_nodes,avg_cost
AStar,9,6,0.666666666666667,20.3124555555556,58.8333333333333,1,789.5,57.8333333333333
Dijkstra,9,6,0.666666666666667,17.5425333333333,58.8333333333333,1,1085.5,57.8333333333333
ImprovedAStar_P0,9,6,0.666666666666667,28.7106777777778,58.8333333333333,1,174.5,58.8333333333333
ImprovedAStar_P80,9,6,0.666666666666667,22.6893555555556,58.8333333333333,1,176.333333333333,61.8413333333333
ImprovedAStar_P150,9,6,0.666666666666667,16.5265333333333,58.8333333333333,1,181.666666666667,69.3952083333333
