scenario,case_name,algorithm,feasible,plan_time_ms,path_length,turn_count,expanded_nodes,cost,start_row,start_col,goal_row,goal_col,map_rows,map_cols,path_nodes
workshop_layout,main_aisle_cross,AStar,0,59.5039,0,0,2073,Inf,4,4,48,68,51,71,0
workshop_layout,main_aisle_cross,Dijkstra,0,29.7424,0,0,2073,Inf,4,4,48,68,51,71,0
workshop_layout,main_aisle_cross,ImprovedAStar_P0,0,114.6706,0,0,2073,Inf,4,4,48,68,51,71,0
workshop_layout,main_aisle_cross,ImprovedAStar_P80,0,87.6278,0,0,2073,Inf,4,4,48,68,51,71,0
workshop_layout,main_aisle_cross,ImprovedAStar_P150,0,55.2345,0,0,2073,Inf,4,4,48,68,51,71,0
workshop_layout,upper_to_lower_shop,AStar,0,28.829,0,0,2073,Inf,6,12,42,60,51,71,0
workshop_layout,upper_to_lower_shop,Dijkstra,0,24.3321,0,0,2073,Inf,6,12,42,60,51,71,0
workshop_layout,upper_to_lower_shop,ImprovedAStar_P0,0,85.3386,0,0,2073,Inf,6,12,42,60,51,71,0
workshop_layout,upper_to_lower_shop,ImprovedAStar_P80,0,69.5141,0,0,2073,Inf,6,12,42,60,51,71,0
workshop_layout,upper_to_lower_shop,ImprovedAStar_P150,0,52.2214,0,0,2073,Inf,6,12,42,60,51,71,0
workshop_layout,left_lane_to_right_lane,AStar,0,25.4913,0,0,2073,Inf,20,6,20,64,51,71,0
workshop_layout,left_lane_to_right_lane,Dijkstra,0,24.2589,0,0,2073,Inf,20,6,20,64,51,71,0
workshop_layout,left_lane_to_right_lane,ImprovedAStar_P0,0,50.3161,0,0,2073,Inf,20,6,20,64,51,71,0
workshop_layout,left_lane_to_right_lane,ImprovedAStar_P80,0,45.0447,0,0,2073,Inf,20,6,20,64,51,71,0
workshop_layout,left_lane_to_right_lane,ImprovedAStar_P150,0,39.1924,0,0,2073,Inf,20,6,20,64,51,71,0
turn_tradeoff_dual_route,short_zigzag_vs_long_straight,AStar,1,13.0994,59,1,747,58,3,3,22,42,26,46,59
turn_tradeoff_dual_route,short_zigzag_vs_long_straight,Dijkstra,1,13.6024,59,1,982,58,3,3,22,42,26,46,59
turn_tradeoff_dual_route,short_zigzag_vs_long_straight,ImprovedAStar_P0,1,6.28,59,1,175,59,3,3,22,42,26,46,59
turn_tradeoff_dual_route,short_zigzag_vs_long_straight,ImprovedAStar_P80,1,0.3716,59,1,177,62.008,3,3,22,42,26,46,59
turn_tradeoff_dual_route,short_zigzag_vs_long_straight,ImprovedAStar_P150,1,0.3144,59,1,182,69.561875,3,3,22,42,26,46,59
turn_tradeoff_dual_route,reverse_tradeoff,AStar,1,10.7852,59,1,744,58,22,42,3,3,26,46,59
turn_tradeoff_dual_route,reverse_tradeoff,Dijkstra,1,11.1795,59,1,999,58,22,42,3,3,26,46,59
turn_tradeoff_dual_route,reverse_tradeoff,ImprovedAStar_P0,1,0.3578,59,1,175,59,22,42,3,3,26,46,59
turn_tradeoff_dual_route,reverse_tradeoff,ImprovedAStar_P80,1,0.3172,59,1,176,62.008,22,42,3,3,26,46,59
turn_tradeoff_dual_route,reverse_tradeoff,ImprovedAStar_P150,1,0.3162,59,1,176,69.561875,22,42,3,3,26,46,59
dead_end_maze,maze_escape,AStar,1,12.0114,61,1,929,60,3,3,28,38,32,42,61
dead_end_maze,maze_escape,Dijkstra,1,13.8023,61,1,1170,60,3,3,28,38,32,42,61
dead_end_maze,maze_escape,ImprovedAStar_P0,1,0.3621,61,1,181,61,3,3,28,38,32,42,61
dead_end_maze,maze_escape,ImprovedAStar_P80,1,0.3297,61,1,183,64.008,3,3,28,38,32,42,61
dead_end_maze,maze_escape,ImprovedAStar_P150,1,0.3071,61,1,188,71.561875,3,3,28,38,32,42,61
dead_end_maze,cross_maze,AStar,1,11.3924,57,1,819,56,28,4,4,36,32,42,57
dead_end_maze,cross_maze,Dijkstra,1,13.3959,57,1,1158,56,28,4,4,36,32,42,57
dead_end_maze,cross_maze,ImprovedAStar_P0,1,0.3802,57,1,169,57,28,4,4,36,32,42,57
dead_end_maze,cross_maze,ImprovedAStar_P80,1,0.3132,57,1,171,60.008,28,4,4,36,32,42,57
dead_end_maze,cross_maze,ImprovedAStar_P150,1,0.2853,57,1,180,67.561875,28,4,4,36,32,42,57
serpentine_vs_bypass,payload_sensitive_route,AStar,1,11.5337,60,1,817,59,3,4,28,38,32,42,60
serpentine_vs_bypass,payload_sensitive_route,Dijkstra,1,12.992,60,1,1104,59,3,4,28,38,32,42,60
serpentine_vs_bypass,payload_sensitive_route,ImprovedAStar_P0,1,0.357,60,1,178,60,3,4,28,38,32,42,60
serpentine_vs_bypass,payload_sensitive_route,ImprovedAStar_P80,1,0.3236,60,1,180,63.008,3,4,28,38,32,42,60
serpentine_vs_bypass,payload_sensitive_route,ImprovedAStar_P150,1,0.3159,60,1,185,70.561875,3,4,28,38,32,42,60
serpentine_vs_bypass,bypass_return,AStar,1,10.1658,57,1,681,56,28,5,4,37,32,42,57
serpentine_vs_bypass,bypass_return,Dijkstra,1,14.5773,57,1,1100,56,28,5,4,37,32,42,57
serpentine_vs_bypass,bypass_return,ImprovedAStar_P0,1,0.3337,57,1,169,57,28,5,4,37,32,42,57
serpentine_vs_bypass,bypass_return,ImprovedAStar_P80,1,0.3623,57,1,171,60.008,28,5,4,37,32,42,57
serpentine_vs_bypass,bypass_return,ImprovedAStar_P150,1,0.5516,57,1,179,67.561875,28,5,4,37,32,42,57
