Generation,dist_exp,dist_base,time_exp,time_base,energy_exp,energy_base
1,1490,1501,397.5,381,185.5132,186.1336
2,1490,1447,394.5,379.5,185.5132,181.652
3,1487,1432,394.5,366.5,185.1248,180.5424
4,1418,1432,363.5,366.5,178.964,180.5424
5,1418,1426,363.5,366.5,178.964,179.8872
6,1418,1418,363.5,366.5,178.964,179.396
7,1390,1418,362.5,366.5,177.0188,179.396
8,1390,1418,362.5,366.5,177.0188,179.396
9,1390,1418,362.5,366.5,177.0188,179.1996
10,1390,1406,362.5,366.5,177.0188,178.0464
11,1386,1406,362.5,366.5,176.782,178.0464
12,1386,1396,355.5,366.5,176.782,177.502
13,1386,1376,349.5,348.5,176.782,175.6008
14,1374,1376,349.5,348.5,175.7848,175.6008
15,1374,1376,349.5,348.5,175.7848,175.6008
16,1362,1376,349.5,348.5,174.85,175.6008
17,1362,1376,349.5,348.5,174.85,175.6008
18,1362,1376,349.5,348.5,174.85,175.6008
19,1362,1368,349.5,348.5,174.85,175.1024
20,1362,1354,349.5,348.5,174.85,173.914
21,1362,1354,349.5,348.5,174.85,173.914
22,1362,1346,349.5,348.5,174.85,172.9992
23,1362,1346,349.5,345.5,174.85,172.9992
24,1358,1346,349.5,345.5,174.4036,172.9992
25,1358,1346,349.5,345.5,174.4036,172.9992
26,1358,1346,349.5,344.5,174.4036,172.9992
27,1358,1342,349.5,344.5,174.3924,172.9584
28,1358,1342,341.5,339.5,174.3516,172.9584
29,1358,1342,341.5,339.5,174.3516,172.9584
30,1358,1342,341.5,339.5,174.3516,172.9584
31,1358,1342,341.5,339.5,174.3516,172.9584
32,1358,1338,341.5,339.5,174.3516,172.5008
33,1358,1338,341.5,339.5,174.3516,172.5008
34,1358,1338,341.5,339.5,174.3516,172.5008
35,1350,1338,341.5,335.5,173.8636,172.5008
36,1346,1338,341.5,335.5,173.3916,172.5008
37,1346,1338,341.5,335.5,173.3916,172.5008
38,1346,1338,341.5,335.5,173.3916,172.5008
39,1346,1338,341.5,335.5,173.3916,172.5008
40,1346,1338,341.5,335.5,173.3916,172.5008
41,1346,1338,341.5,335.5,173.3916,172.5008
42,1346,1338,341.5,335.5,173.3916,172.5008
43,1346,1338,341.5,335.5,173.3916,172.5008
44,1346,1338,341.5,335.5,173.3916,172.5008
45,1346,1338,341.5,335.5,173.3916,172.4904
46,1346,1338,341.5,335.5,173.3916,172.4904
47,1346,1338,341.5,335.5,173.3916,172.4904
48,1346,1338,341.5,335.5,173.3916,172.4904
49,1346,1338,341.5,335.5,173.3916,172.4904
50,1346,1338,341.5,335.5,173.3916,172.4904
51,1346,1338,341.5,335.5,173.3916,172.4872
52,1346,1338,341.5,335.5,173.3916,172.4872
53,1346,1338,341.5,335.5,173.3916,172.4872
54,1346,1338,341.5,335.5,173.3916,172.4872
55,1346,1338,341.5,335.5,173.3916,172.4872
56,1346,1338,341.5,335.5,173.3916,172.4832
57,1346,1338,341.5,335.5,173.3916,172.4832
58,1346,1338,341.5,335.5,173.3916,172.4832
59,1346,1338,341.5,335.5,173.3916,172.4752
60,1346,1338,341.5,335.5,173.3916,172.4752
61,1346,1338,341.5,335.5,173.3916,172.4752
62,1346,1338,341.5,335.5,173.3916,172.4752
63,1346,1338,341.5,335.5,173.3916,172.4752
64,1346,1338,341.5,335.5,173.3916,172.4752
65,1346,1338,341.5,335.5,173.3916,172.4752
66,1346,1338,341.5,335.5,173.3916,172.4752
67,1346,1338,341.5,335.5,173.3916,172.4752
68,1346,1338,341.5,335.5,173.3916,172.4752
69,1346,1338,341.5,335.5,173.3916,172.4752
70,1346,1338,341.5,335.5,173.3916,172.4752
71,1346,1338,341.5,335.5,173.3916,172.4752
72,1346,1338,341.5,335.5,173.3916,172.4752
73,1346,1338,341.5,335.5,173.3916,172.4752
74,1346,1338,341.5,335.5,173.3916,172.4716
75,1346,1338,341.5,335.5,173.3916,172.4716
76,1346,1338,341.5,335.5,173.3916,172.4716
77,1346,1338,341.5,335.5,173.3916,172.4716
78,1346,1338,341.5,335.5,173.3916,172.4716
79,1346,1338,341.5,335.5,173.3916,172.4716
80,1346,1338,341.5,335.5,173.3916,172.4716
81,1346,1338,341.5,335.5,173.3916,172.4716
82,1346,1338,341.5,335.5,173.3916,172.4716
83,1346,1338,341.5,335.5,173.3808,172.4716
84,1346,1338,341.5,335.5,173.3808,172.4716
85,1346,1338,341.5,335.5,173.3808,172.4716
86,1346,1338,341.5,335.5,173.3808,172.4716
87,1346,1338,341.5,335.5,173.3808,172.4716
88,1346,1338,341.5,335.5,173.3808,172.4716
89,1346,1338,341.5,335.5,173.3808,172.4716
90,1346,1338,341.5,335.5,173.3808,172.4716
91,1346,1338,341.5,335.5,173.3808,172.4716
92,1346,1338,341.5,335.5,173.3808,172.4716
93,1346,1338,341.5,335.5,173.3808,172.4716
