Generation,dist_exp,dist_base,time_exp,time_base,energy_exp,energy_base
1,1517,1472,404,406.5,187.3868,184.0728
2,1517,1472,395,406.5,187.3868,184.0728
3,1460,1458,394,406.5,182.6596,182.5608
4,1460,1458,394,399.5,182.6596,182.5608
5,1460,1458,379.5,399.5,182.4788,182.5608
6,1451,1454,379.5,394.5,182.2488,182.194
7,1441,1452,379.5,381,180.9512,182.194
8,1441,1398,376.5,369.5,180.9512,177.5044
9,1370,1398,363.5,369.5,175.3008,177.5044
10,1370,1398,363.5,369.5,175.3008,177.5044
11,1370,1398,363.5,369.5,175.3008,177.5044
12,1370,1398,363.5,357.5,175.3008,177.5044
13,1370,1396,363.5,357.5,175.3008,177.2784
14,1358,1396,356.5,357.5,174.3508,177.2784
15,1358,1394,356.5,357.5,174.3508,177.0436
16,1358,1394,356.5,357.5,174.3508,177.0436
17,1354,1386,356.5,357.5,173.9184,176.5336
18,1342,1378,356.5,357.5,172.9432,176.0232
19,1342,1378,352.5,357.5,172.9432,176.0232
20,1342,1376,352.5,356.5,172.9432,175.6128
21,1342,1350,352.5,356.5,172.9432,173.458
22,1342,1350,352.5,356.5,172.9292,173.458
23,1342,1350,351.5,356.5,172.9292,173.458
24,1342,1350,351.5,356.5,172.9292,173.458
25,1342,1350,351.5,356.5,172.9292,173.458
26,1342,1350,351.5,356.5,172.9292,173.458
27,1342,1350,351.5,356.5,172.9292,173.458
28,1342,1350,344.5,356.5,172.9292,173.458
29,1342,1350,344.5,356.5,172.9292,173.458
30,1342,1350,344.5,344.5,172.9292,173.458
31,1342,1350,344.5,344.5,172.9292,173.458
32,1342,1350,344.5,344.5,172.9292,173.458
33,1342,1350,344.5,344.5,172.9292,173.458
34,1342,1350,344.5,344.5,172.9292,173.458
35,1342,1350,344.5,344.5,172.9292,173.458
36,1342,1350,344.5,344.5,172.9292,173.458
37,1342,1350,344.5,344.5,172.9292,173.458
38,1342,1350,344.5,344.5,172.9292,173.458
39,1342,1350,344.5,344.5,172.9292,173.458
40,1342,1350,344.5,344.5,172.9292,173.458
41,1342,1350,344.5,344.5,172.9292,173.458
42,1342,1350,344.5,344.5,172.9292,173.458
43,1342,1350,344.5,344.5,172.9292,173.458
44,1342,1350,344.5,344.5,172.9292,173.458
45,1342,1350,344.5,344.5,172.9292,173.458
46,1342,1350,344.5,344.5,172.9292,173.458
47,1342,1350,344.5,344.5,172.9292,173.458
48,1342,1350,344.5,344.5,172.9292,173.458
49,1342,1350,344.5,344.5,172.9292,173.458
