Generation,dist_exp,dist_base,time_exp,time_base,energy_exp,energy_base
1,1523,1510,398.5,405,187.3108,186.9084
2,1523,1482,393.5,374.5,187.3108,184.7948
3,1495,1482,389.5,374.5,185.914,184.7948
4,1495,1414,388.5,374.5,185.914,178.6512
5,1472,1414,388.5,362.5,183.65,178.6512
6,1472,1384,388.5,362.5,183.65,176.5508
7,1455,1384,388.5,362.5,181.8768,176.5508
8,1455,1384,388.5,362.5,181.8768,176.5508
9,1455,1384,388.5,362.5,181.8768,176.5508
10,1449,1384,367.5,362.5,181.446,176.5508
11,1449,1384,367.5,362.5,181.446,176.5508
12,1449,1384,367.5,362.5,181.446,176.5508
13,1449,1376,367.5,355.5,181.446,176.0148
14,1449,1376,367.5,353.5,181.446,176.0148
15,1418,1376,366.5,353.5,179.3216,176.0148
16,1413,1376,363.5,349.5,178.554,176.0148
17,1413,1372,363.5,349.5,178.554,175.6012
18,1413,1372,363.5,349.5,178.554,175.6012
19,1413,1358,363.5,349.5,178.554,174.366
20,1413,1358,363.5,349.5,178.554,174.366
21,1413,1358,363.5,349.5,178.554,174.366
22,1406,1358,363.5,349.5,178.4408,174.366
23,1406,1358,363.5,349.5,178.4408,174.366
24,1406,1358,363.5,347.5,178.4408,174.366
25,1393,1358,363.5,347.5,177.0956,174.366
26,1393,1358,363.5,347.5,177.0956,174.366
27,1393,1358,363.5,347.5,177.0956,174.366
28,1391,1346,363.5,347.5,176.8716,173.4196
29,1387,1346,357.5,347.5,176.6268,173.4196
30,1383,1346,356,347.5,176.1828,173.4196
31,1383,1346,356,347.5,176.1828,173.4196
32,1383,1346,356,345.5,176.1828,173.4092
33,1383,1346,356,345.5,176.1828,173.4092
34,1383,1346,356,345.5,176.1828,173.4092
35,1383,1346,356,345.5,176.1828,173.4092
36,1383,1346,356,343.5,176.1828,173.4092
37,1383,1346,356,338.5,176.1828,173.4092
38,1383,1346,356,338.5,176.1828,173.4092
39,1383,1346,356,338.5,176.1828,173.4092
40,1383,1346,356,338.5,176.1828,173.4092
41,1383,1346,356,338.5,176.1828,173.4092
42,1383,1346,356,338.5,176.1828,173.4068
43,1383,1346,356,338.5,176.1828,173.4068
44,1383,1346,356,338.5,176.1828,173.4068
45,1383,1346,356,338.5,176.1828,173.4068
46,1383,1346,356,338.5,176.1828,173.4068
47,1383,1346,356,338.5,176.1828,173.406
48,1383,1346,356,338.5,176.1828,173.406
49,1374,1346,344.5,338.5,175.6004,173.406
50,1374,1346,344.5,338.5,175.6004,173.406
51,1374,1346,344.5,338.5,175.6004,173.406
52,1374,1346,344.5,338.5,175.6004,173.406
53,1374,1346,344.5,338.5,175.6004,173.406
54,1374,1346,344.5,338.5,175.6004,173.406
55,1374,1346,344.5,338.5,175.6004,173.406
56,1374,1346,344.5,338.5,175.6004,173.406
57,1362,1346,344.5,338.5,174.6404,173.4036
58,1362,1346,344.5,338.5,174.6404,173.396
59,1362,1346,344.5,338.5,174.6404,173.396
60,1362,1346,344.5,338.5,174.6404,173.396
61,1362,1346,344.5,338.5,174.6404,173.396
62,1362,1346,344.5,338.5,174.6404,173.396
63,1362,1346,344.5,338.5,174.6324,173.396
64,1362,1346,344.5,338.5,174.6324,173.3928
65,1362,1346,344.5,338.5,174.6324,173.3928
66,1362,1346,344.5,338.5,174.6324,173.3928
67,1362,1346,344.5,338.5,174.6324,173.3928
68,1362,1346,344.5,338.5,174.6324,173.3928
69,1362,1346,344.5,338.5,174.6324,173.3928
70,1362,1346,344.5,338.5,174.6324,173.3928
71,1358,1346,344.5,338.5,174.1828,173.3928
72,1358,1346,344.5,338.5,174.1828,173.3928
73,1358,1346,344.5,338.5,174.1828,173.3928
74,1358,1346,344.5,338.5,174.1828,173.3928
75,1358,1346,344.5,338.5,174.1828,173.3808
76,1358,1346,344.5,338.5,174.1828,173.3808
77,1358,1346,344.5,338.5,174.1828,173.3808
78,1358,1346,344.5,338.5,174.1828,173.3808
79,1358,1346,344.5,338.5,174.1828,173.3808
80,1358,1346,344.5,338.5,174.1828,173.3808
81,1358,1346,344.5,338.5,174.1828,173.3808
82,1358,1346,344.5,338.5,174.1828,173.3808
83,1358,1346,344.5,338.5,174.1828,173.3808
84,1358,1346,344.5,338.5,174.1828,173.3808
