Generation,dist_exp,dist_base,time_exp,time_base,energy_exp,energy_base
1,1522,1484,418,400,187.6368,184.8164
2,1522,1484,387,386.5,187.6368,184.8164
3,1503,1456,387,386.5,186.3612,182.7296
4,1494,1456,387,386.5,185.5464,182.7284
5,1452,1440,387,386.5,182.2084,181.0688
6,1452,1434,387,367.5,182.2084,180.3316
7,1452,1434,387,367.5,182.2084,180.3316
8,1444,1433,371.5,367.5,181.6904,180.3316
9,1444,1433,371.5,367.5,181.6904,180.3316
10,1444,1429,371.5,359,181.6904,179.9628
11,1444,1423,371.5,359,181.6904,179.6916
12,1444,1423,371.5,359,181.6904,179.6916
13,1422,1418,369,359,179.5876,179.5848
14,1422,1411,369,359,179.5876,178.7316
15,1422,1402,369,353.5,179.5876,177.9508
16,1422,1370,369,347.5,179.5876,175.3048
17,1422,1370,369,347.5,179.5876,175.3048
18,1422,1370,369,347.5,179.5876,175.3048
19,1422,1370,369,347.5,179.5876,175.3048
20,1422,1370,369,347.5,179.5876,175.3048
21,1422,1370,369,347.5,179.5876,175.3048
22,1417,1370,366,347.5,179.1772,175.3048
23,1417,1370,366,347.5,179.1772,175.3048
24,1403,1370,366,347.5,178.0676,175.3048
25,1403,1370,366,347.5,178.0676,175.3008
26,1403,1370,366,347.5,178.0676,175.3008
27,1403,1370,366,347.5,178.0676,175.3008
28,1403,1370,364.5,347.5,178.0676,175.3008
29,1403,1362,364.5,347.5,178.0676,174.8024
30,1403,1362,364.5,347.5,178.0676,174.8024
31,1403,1362,364.5,347.5,178.0676,174.8024
32,1403,1362,364.5,347.5,178.0676,174.8024
33,1403,1358,364.5,347.5,178.0676,174.356
34,1403,1358,364.5,347.5,178.0676,174.3528
35,1403,1358,364.5,347.5,178.0676,174.3448
36,1403,1358,364.5,347.5,178.0676,174.3448
37,1403,1358,364.5,347.5,178.0676,174.3448
38,1403,1358,364.5,347.5,178.0676,174.3448
39,1403,1358,364.5,347.5,178.0676,174.3448
40,1403,1358,364.5,347.5,178.0676,174.3448
41,1398,1358,361.5,347.5,177.9432,174.3448
42,1398,1358,361.5,347.5,177.9432,174.3448
43,1398,1358,361.5,347.5,177.9432,174.3448
44,1398,1358,361.5,347.5,177.9432,174.3448
45,1398,1358,361.5,347.5,177.9432,174.3448
46,1398,1358,361.5,347.5,177.9432,174.3448
47,1398,1358,358.5,347.5,177.9432,174.3448
48,1398,1358,358.5,347.5,177.9432,174.3448
49,1398,1358,358.5,347.5,177.5956,174.3448
50,1398,1358,358.5,347.5,177.5956,174.3448
51,1398,1358,358.5,347.5,177.5956,174.3448
52,1398,1358,358.5,347.5,177.5956,174.3448
53,1398,1358,358.5,343.5,177.5956,174.3448
54,1398,1358,358.5,343.5,177.5956,174.3448
55,1398,1358,358.5,343.5,177.5956,174.3448
56,1398,1358,358.5,343.5,177.5956,174.3448
57,1398,1358,358,343.5,177.5956,174.3448
58,1398,1358,358,343.5,177.5956,174.3448
59,1398,1358,358,343.5,177.5956,174.3448
60,1398,1358,358,341.5,177.5956,174.3448
61,1396,1358,354.5,341.5,177.5956,174.3448
62,1396,1358,354.5,341.5,177.5956,174.3448
63,1396,1358,354.5,341.5,177.5956,174.3448
64,1396,1358,354.5,341.5,177.5956,174.3448
65,1396,1358,354.5,341.5,177.5956,174.3408
66,1382,1358,354.5,341.5,176.5292,174.3408
67,1382,1358,354.5,341.5,176.5292,174.3408
68,1382,1358,354.5,341.5,176.5292,174.3408
69,1382,1358,354.5,341.5,176.5292,174.3408
70,1382,1358,354.5,341.5,176.5292,174.3408
71,1382,1358,354.5,341.5,176.5292,174.3408
72,1382,1358,354.5,341.5,176.5292,174.3408
73,1382,1358,354.5,341.5,176.5292,174.3408
74,1382,1358,354.5,341.5,176.5292,174.3408
75,1382,1358,354.5,341.5,176.5292,174.3408
76,1382,1358,354.5,341.5,176.5292,174.3408
77,1382,1358,354.5,341.5,176.5292,174.3408
78,1382,1358,354.5,341.5,176.5292,174.3408
79,1382,1358,354.5,341.5,176.5292,174.3408
80,1382,1358,354.5,341.5,176.5292,174.3408
81,1382,1358,353.5,341.5,176.5292,174.3408
82,1382,1358,353.5,341.5,176.5292,174.3408
83,1382,1358,353.5,341.5,176.5292,174.3408
84,1382,1358,353.5,341.5,176.5292,174.3408
85,1382,1358,353.5,341.5,176.5292,174.3408
86,1382,1358,353.5,341.5,176.5292,174.3408
87,1382,1358,353.5,341.5,176.5292,174.3408
88,1382,1358,353.5,341.5,176.5292,174.3408
89,1382,1358,353.5,341.5,176.5292,174.3408
90,1378,1358,353.5,341.5,176.0828,174.3408
91,1378,1358,353.5,341.5,176.0828,174.3408
92,1378,1358,353.5,341.5,176.0828,174.3408
93,1378,1358,353.5,341.5,176.0828,174.3408
94,1378,1358,353.5,341.5,176.0828,174.3408
95,1378,1358,353.5,341.5,176.0828,174.3408
96,1378,1358,353.5,341.5,176.0828,174.3408
97,1378,1358,351,341.5,176.0828,174.3408
98,1378,1358,351,341.5,176.0828,174.3408
99,1378,1358,351,341.5,176.0828,174.3408
100,1378,1358,351,341.5,176.0828,174.3408
101,1378,1358,351,341.5,176.0828,174.3408
102,1370,1358,343.5,341.5,175.5172,174.3408
103,1370,1358,343.5,341.5,175.5172,174.3408
104,1370,1358,343.5,341.5,175.5172,174.3408
105,1370,1358,343.5,341.5,175.5172,174.3408
106,1370,1358,343.5,341.5,175.5172,174.3408
107,1370,1358,343.5,341.5,175.5172,174.3408
108,1370,1358,343.5,341.5,175.5172,174.3408
109,1370,1358,343.5,341.5,175.5172,174.3408
110,1366,1358,343.5,341.5,175.0708,174.3408
111,1366,1358,343.5,341.5,175.0708,174.3408
112,1366,1358,343.5,341.5,175.0708,174.3408
113,1366,1358,343.5,341.5,175.0708,174.3408
114,1366,1358,343.5,341.5,175.0708,174.3408
115,1366,1358,343.5,341.5,175.0708,174.3408
116,1366,1358,343.5,341.5,175.0708,174.3408
117,1366,1358,343.5,341.5,175.0708,174.3408
118,1366,1358,343.5,341.5,175.0708,174.3408
119,1366,1358,343.5,341.5,175.0556,174.3408
120,1366,1358,343.5,341.5,175.0556,174.3408
121,1366,1358,343.5,341.5,175.0556,174.3408
122,1366,1358,343.5,341.5,175.0556,174.3408
