Generation,dist_exp,dist_base,time_exp,time_base,energy_exp,energy_base
1,1471,1512,396.5,399.5,183.9916,186.72
2,1471,1506,396.5,390.5,183.9916,186.336
3,1452,1484,384.5,390.5,182.1336,184.362
4,1452,1484,384.5,390.5,182.1336,184.362
5,1452,1484,384.5,390.5,182.1336,184.362
6,1444,1434,378,383.5,181.4712,180.71
7,1444,1434,378,383.5,181.4712,180.71
8,1444,1434,377.5,383.5,181.4712,180.71
9,1444,1434,377.5,383.5,181.4712,180.71
10,1444,1434,371.5,372.5,181.1404,180.71
11,1444,1418,371.5,372.5,181.1404,179.4152
12,1405,1418,351.5,372.5,178.0784,179.4152
13,1404,1418,351.5,372.5,177.9276,179.4152
14,1404,1418,351.5,372.5,177.9276,179.4152
15,1390,1418,351.5,366.5,176.7284,179.4152
16,1390,1418,351.5,366.5,176.7284,179.4152
17,1390,1418,351.5,366.5,176.7284,179.4152
18,1390,1418,351.5,366.5,176.7284,179.3652
19,1390,1418,351.5,366.5,176.7284,179.3652
20,1390,1418,351.5,366.5,176.7284,179.3652
21,1390,1418,351.5,366.5,176.7284,179.3652
22,1390,1418,351.5,366.5,176.7284,179.3652
23,1382,1418,351.5,366.5,176.3276,179.3652
24,1382,1418,351.5,366.5,176.3276,179.3652
25,1382,1418,351.5,365.5,176.3276,179.3652
26,1382,1418,349.5,365.5,176.3276,179.3652
27,1382,1418,349.5,365.5,176.3276,179.3652
28,1382,1418,349.5,365.5,176.3276,179.3652
29,1362,1418,349.5,365.5,174.85,179.3652
30,1362,1418,349.5,365.5,174.85,179.3652
31,1362,1418,349.5,365.5,174.85,179.3652
32,1362,1418,349.5,362,174.85,179.3652
33,1362,1418,349.5,362,174.85,179.3612
34,1362,1418,349.5,362,174.85,179.3612
35,1362,1418,349.5,362,174.85,179.3612
36,1362,1418,349.5,362,174.85,179.3612
37,1362,1418,349.5,362,174.85,179.3612
38,1358,1418,340.5,362,174.4036,179.3612
39,1358,1418,340.5,362,174.4036,179.3612
40,1358,1418,340.5,357.5,174.4036,179.3612
41,1358,1418,340.5,357.5,174.4036,179.3612
42,1358,1418,340.5,357.5,174.4036,179.3612
43,1358,1418,340.5,357.5,174.4036,179.3612
44,1358,1410,340.5,357.5,174.4036,178.4564
45,1358,1410,340.5,357.5,174.4036,178.4412
46,1358,1410,340.5,357.5,174.4036,178.4412
47,1358,1410,340.5,357.5,174.4036,178.4412
48,1358,1402,340.5,357.5,174.3932,177.9532
49,1358,1402,340.5,357.5,174.3932,177.9532
50,1358,1402,340.5,357.5,174.3932,177.9532
51,1358,1402,340.5,357.5,174.3932,177.9532
