Generation,dist_exp,dist_base,time_exp,time_base,energy_exp,energy_base
1,1514,1470,400,393.5,187.2876,183.6028
2,1514,1470,400,393.5,187.2876,183.6028
3,1505,1470,395,393.5,186.3776,183.6028
4,1479,1470,383,393.5,184.4252,183.6028
5,1452,1470,381.5,393.5,182.0048,183.6028
6,1452,1460,381.5,393.5,182.0048,182.6604
7,1452,1460,375,393.5,182.0048,182.6604
8,1452,1460,375,376.5,182.0048,182.6604
9,1450,1460,375,376.5,182.0048,182.6604
10,1450,1428,375,375.5,182.0048,180.1228
11,1398,1428,353.5,375.5,177.5436,180.1228
12,1398,1428,353.5,375.5,177.5436,180.1228
13,1398,1428,353.5,372.5,177.5436,180.1228
14,1398,1428,353.5,372.5,177.5436,180.1228
15,1398,1410,353.5,372.5,177.5436,178.5008
16,1398,1410,353.5,372.5,177.5436,178.5008
17,1398,1410,353.5,372.5,177.5436,178.5008
18,1398,1410,353.5,372.5,177.5436,178.5008
19,1398,1410,353.5,372.5,177.5436,178.5008
20,1398,1410,353.5,372.5,177.5436,178.5008
21,1398,1410,353.5,372.5,177.5436,178.5008
22,1378,1410,353.5,372.5,176.2452,178.5008
23,1378,1410,353.5,372.5,176.2452,178.5008
24,1378,1410,353.5,372.5,176.2452,178.5008
25,1378,1410,353.5,357.5,176.2452,178.5008
26,1378,1410,353.5,357.5,176.2452,178.5008
27,1378,1410,353.5,357.5,176.2452,178.5008
28,1378,1410,353.5,357.5,176.2452,178.5008
29,1378,1410,353.5,357.5,176.2452,178.5008
30,1378,1410,353.5,357.5,176.2452,178.5008
31,1378,1410,353.5,357.5,176.2452,178.5008
32,1378,1410,353.5,357.5,176.2452,178.5008
33,1378,1410,353.5,357.5,176.2452,178.5008
34,1378,1410,353.5,357.5,176.2452,178.5008
35,1378,1404,353.5,357.5,176.2452,178.2136
36,1378,1404,353.5,357.5,176.2452,178.2136
37,1378,1404,353.5,354.5,176.2452,178.2136
38,1378,1404,353.5,354.5,176.2452,178.2136
39,1378,1404,353.5,354.5,176.2452,178.2136
40,1378,1404,353.5,354.5,176.2452,178.2136
41,1378,1404,353.5,353.5,176.2452,178.2136
42,1374,1404,353.5,353.5,175.8128,178.2136
43,1374,1396,353.5,353.5,175.8128,177.7032
44,1374,1396,347.5,353.5,175.8128,177.7032
45,1374,1378,347.5,353.5,175.8128,176.0556
46,1374,1378,347.5,353.5,175.8128,176.0532
47,1374,1378,347.5,353.5,175.8128,176.0532
48,1374,1378,347.5,353.5,175.8128,176.0532
49,1364,1378,347.5,352.5,175.0536,176.0532
50,1364,1378,342.5,352.5,175.0536,176.0532
51,1364,1378,342.5,352.5,175.0536,176.0532
52,1364,1378,342.5,352.5,175.0536,176.0532
53,1364,1378,342.5,352.5,175.0536,176.0532
54,1364,1378,342.5,352.5,174.642,176.0532
55,1364,1378,342.5,352.5,174.642,176.0532
56,1364,1378,342.5,352.5,174.642,176.0532
57,1356,1378,342.5,352.5,174.142,176.0532
58,1356,1378,342.5,352.5,174.142,176.0532
59,1356,1378,342.5,351.5,174.142,176.0532
60,1356,1378,342.5,351.5,174.142,176.0532
61,1356,1378,342.5,351.5,174.142,176.0532
62,1356,1378,342.5,351.5,174.142,176.0532
63,1356,1378,342.5,351.5,174.142,176.0532
64,1356,1378,342.5,351.5,174.142,176.0532
65,1356,1378,342.5,351.5,174.142,176.0532
66,1356,1378,342.5,351.5,174.142,176.0532
67,1356,1378,342.5,351.5,174.142,176.0532
