Generation,dist_exp,dist_base,time_exp,time_base,energy_exp,energy_base
1,1522,1476,411.5,381.5,187.7236,183.878
2,1502,1437,380.5,381.5,186.252,180.6908
3,1492,1437,380.5,381.5,185.3744,180.6908
4,1492,1437,380.5,381.5,185.3744,180.6908
5,1472,1437,380.5,372,183.9324,180.6908
6,1445,1437,380.5,372,181.1584,180.6904
7,1445,1421,380.5,372,181.1584,179.4944
8,1445,1421,379,372,181.1584,179.4944
9,1429,1421,379,372,179.9808,179.4944
10,1423,1421,379,368.5,179.5004,179.4944
11,1423,1410,379,354.5,179.5004,178.716
12,1423,1406,379,354.5,179.5004,178.2212
13,1404,1406,359.5,354.5,178.6012,178.2212
14,1404,1406,359.5,354.5,178.6012,178.2212
15,1404,1406,359.5,354.5,178.6012,178.2104
16,1404,1382,359.5,354.5,178.6012,176.0936
17,1404,1382,359.5,354.5,178.6012,176.0936
18,1404,1382,359.5,354.5,178.3116,176.0936
19,1401,1374,359.5,344.5,177.7592,175.5792
20,1392,1374,359.5,344.5,177.276,175.5792
21,1392,1374,357.5,344.5,177.276,175.5792
22,1392,1374,357.5,344.5,177.012,175.5792
23,1392,1374,357.5,344.5,177.012,175.5792
24,1386,1374,357.5,344.5,176.7356,175.5688
25,1386,1374,357.5,344.5,176.7356,175.5676
26,1386,1374,357.5,344.5,176.7356,175.5676
27,1386,1374,357.5,344.5,176.7356,175.5568
28,1386,1374,357.5,344.5,176.7356,175.5568
29,1386,1374,357.5,344.5,176.7356,175.5568
30,1370,1374,356,344.5,175.3404,175.5568
31,1370,1374,356,344.5,175.3404,175.5568
32,1370,1374,349.5,344.5,175.3404,175.5568
33,1370,1374,349.5,344.5,175.3404,175.5568
34,1370,1370,349.5,344.5,175.3404,175.1216
35,1370,1370,349.5,344.5,175.3404,175.1072
36,1370,1370,349.5,344.5,175.3404,175.1072
37,1370,1370,349.5,344.5,175.3404,175.1072
38,1370,1370,349.5,344.5,175.3404,175.1072
39,1370,1370,349.5,344.5,175.3404,175.1072
40,1370,1370,349.5,344.5,175.3404,175.1072
41,1358,1370,349.5,344.5,174.3804,175.0992
42,1358,1370,349.5,344.5,174.3804,175.0992
43,1358,1370,349.5,344.5,174.3804,175.0992
44,1358,1370,349.5,344.5,174.3804,175.0992
