Generation,dist_exp,dist_base,time_exp,time_base,energy_exp,energy_base
1,1490,1500,381.5,394.5,185.3092,185.942
2,1490,1500,381.5,394.5,185.3092,185.942
3,1490,1500,381.5,394.5,185.3092,185.942
4,1470,1500,381.5,394.5,184.1136,185.942
5,1470,1478,381.5,384.5,184.1136,184.1156
6,1428,1478,381.5,384.5,180.1192,184.1156
7,1428,1466,381.5,384.5,180.1192,183.1556
8,1428,1466,381.5,371.5,180.1192,183.1556
9,1428,1431,381.5,362.5,180.1192,180.1932
10,1428,1431,381.5,362.5,180.1192,180.1932
11,1428,1406,381.5,362.5,180.1192,178.6248
12,1428,1406,381.5,361.5,180.1192,178.6248
13,1428,1406,381.5,361.5,180.1192,178.6248
14,1416,1406,378.5,361.5,179.1524,178.6248
15,1416,1406,378.5,361.5,179.1524,178.6248
16,1416,1406,359.5,361.5,179.1524,178.6248
17,1416,1406,359.5,361.5,179.1524,178.6248
18,1416,1390,359.5,361.5,179.1524,176.7068
19,1416,1390,359.5,361.5,179.1524,176.7068
20,1416,1390,359.5,361.5,179.1524,176.7068
21,1416,1390,359.5,356.5,179.1524,176.7068
22,1416,1390,359.5,356.5,179.1524,176.7068
23,1410,1390,355.5,356.5,178.4556,176.7068
24,1410,1350,355.5,356.5,178.4556,173.4328
25,1410,1350,355.5,356.5,178.4556,173.4328
26,1392,1350,355.5,356.5,177.2292,173.4328
27,1392,1350,355.5,356.5,177.2292,173.4328
28,1392,1350,355.5,356.5,177.2292,173.4328
29,1392,1350,355.5,356.5,177.2292,173.4328
30,1392,1350,355.5,356.5,177.2292,173.4328
31,1392,1350,355.5,356.5,177.0492,173.4328
32,1392,1350,355.5,356.5,177.0492,173.4328
33,1392,1350,355.5,356.5,177.0492,173.4328
34,1392,1350,355.5,351.5,177.0492,173.4328
35,1392,1350,355.5,350.5,177.0492,173.4328
36,1392,1350,355.5,350.5,177.0492,173.4328
37,1392,1350,355.5,350.5,177.0492,173.4328
38,1392,1350,355.5,350.5,177.0492,173.4328
39,1392,1350,355.5,350.5,177.0492,173.4328
40,1392,1350,355.5,350.5,177.0492,173.4328
41,1392,1350,355.5,350.5,177.0492,173.4328
42,1392,1350,355.5,348.5,177.0492,173.4328
43,1392,1350,355.5,348.5,177.0492,173.4328
44,1392,1350,355.5,348.5,177.0492,173.4328
45,1392,1350,355.5,348.5,177.0492,173.4328
46,1392,1350,355.5,348.5,177.0492,173.4328
47,1392,1350,355.5,343.5,177.0492,173.4328
48,1392,1350,355.5,343.5,177.0492,173.4324
49,1392,1350,352.5,343.5,177.0492,173.4324
50,1392,1350,352.5,343.5,177.0492,173.4324
51,1392,1350,352.5,343.5,177.0492,173.4324
52,1392,1350,352.5,343.5,177.0492,173.4324
53,1392,1350,352.5,343.5,177.0492,173.4324
54,1392,1350,352.5,343.5,177.0492,173.4324
55,1392,1350,352.5,343.5,177.0492,173.4324
56,1392,1350,352.5,343.5,177.0492,173.4324
57,1392,1350,352.5,343.5,177.0492,173.4324
58,1392,1350,352.5,343.5,177.0492,173.4324
59,1392,1350,352.5,343.5,177.0492,173.4324
60,1392,1350,352.5,343.5,177.0492,173.4324
61,1392,1350,352.5,341.5,177.0492,173.4324
62,1392,1350,352.5,341.5,177.0492,173.4324
63,1392,1350,352.5,341.5,177.0492,173.4324
64,1392,1350,352.5,341.5,177.0492,173.4324
65,1392,1350,352.5,341.5,177.0492,173.4324
66,1392,1350,352.5,341.5,177.0492,173.4324
67,1392,1346,352.5,341.5,177.0492,172.986
68,1392,1346,352.5,341.5,177.0492,172.986
69,1386,1346,352.5,341.5,176.5356,172.986
70,1386,1346,352.5,341.5,176.5356,172.986
71,1386,1346,352.5,341.5,176.5356,172.986
72,1386,1346,352.5,341.5,176.5356,172.986
73,1386,1346,352.5,341.5,176.5356,172.986
74,1386,1346,352.5,341.5,176.5356,172.986
75,1386,1346,352.5,341.5,176.5356,172.986
76,1386,1346,352.5,341.5,176.5356,172.986
77,1386,1346,352.5,341.5,176.5356,172.986
78,1380,1346,352.5,341.5,176.2812,172.986
79,1380,1346,352.5,341.5,176.2812,172.986
80,1380,1346,352.5,341.5,176.2812,172.986
81,1380,1346,352.5,341.5,176.2812,172.986
82,1380,1346,352.5,341.5,176.2812,172.986
83,1380,1342,352.5,341.5,176.2812,172.93
84,1380,1342,352.5,341.5,176.2812,172.93
85,1380,1342,352.5,341.5,176.2812,172.93
86,1380,1342,352.5,341.5,176.2812,172.93
87,1380,1342,352.5,341.5,176.2812,172.93
88,1380,1342,352.5,341.5,176.2812,172.93
89,1380,1338,352.5,341.5,176.2812,172.4728
90,1380,1338,352.5,341.5,176.2812,172.4728
91,1380,1338,352.5,341.5,176.2812,172.4728
92,1380,1338,352.5,341.5,176.2812,172.4728
93,1380,1338,352.5,341.5,176.2812,172.4728
94,1380,1338,346.5,341.5,176.2692,172.4728
95,1380,1338,346.5,341.5,176.2692,172.4728
96,1380,1338,346.5,341.5,176.2692,172.4728
97,1380,1338,346.5,341.5,176.2692,172.4728
98,1380,1338,346.5,341.5,176.2692,172.4728
99,1380,1338,346.5,341.5,176.2692,172.4728
100,1380,1338,346.5,341.5,176.2692,172.4728
101,1380,1338,346.5,341.5,176.2692,172.4728
102,1380,1338,346.5,341.5,176.2692,172.4728
103,1380,1338,346.5,341.5,176.2692,172.4728
104,1380,1338,346.5,341.5,176.2692,172.4728
105,1380,1338,346.5,341.5,176.2692,172.4728
106,1380,1338,346.5,341.5,176.2692,172.4728
107,1380,1338,346.5,341.5,176.2616,172.4728
108,1380,1338,346.5,341.5,176.2616,172.4728
109,1380,1338,346.5,341.5,176.2616,172.4728
110,1380,1338,346.5,341.5,176.2616,172.4728
111,1380,1338,346.5,341.5,176.2616,172.4724
112,1380,1338,346.5,341.5,176.2616,172.4724
113,1380,1338,346.5,341.5,176.2616,172.4724
114,1380,1338,346.5,341.5,176.2616,172.4724
115,1380,1338,346.5,341.5,176.2616,172.4724
116,1380,1338,346.5,341.5,176.2616,172.4724
117,1380,1338,346.5,341.5,176.2616,172.4724
118,1380,1338,346.5,341.5,176.2616,172.4724
119,1380,1338,346.5,341.5,176.2616,172.4724
120,1380,1338,346.5,341.5,176.2616,172.4724
121,1380,1338,346.5,341.5,176.2616,172.4724
122,1380,1338,346.5,341.5,176.2616,172.4724
123,1380,1338,346.5,341.5,176.2616,172.4724
124,1380,1338,346.5,341.5,176.2616,172.4724
125,1380,1338,346.5,341.5,176.2616,172.4724
126,1380,1338,346.5,341.5,176.2616,172.4724
127,1380,1338,346.5,341.5,176.2616,172.4724
128,1380,1338,346.5,341.5,176.2616,172.4724
129,1380,1338,346.5,341.5,176.2616,172.4724
130,1380,1338,346.5,341.5,176.2608,172.4724
131,1380,1338,346.5,341.5,176.2608,172.4724
132,1380,1338,346.5,341.5,176.2608,172.4724
133,1380,1338,346.5,341.5,176.2608,172.4724
134,1380,1338,346.5,341.5,176.2608,172.4724
135,1380,1338,346.5,341.5,176.2608,172.4724
136,1380,1338,346.5,341.5,176.2608,172.4724
137,1376,1338,346.5,341.5,176.0196,172.4724
138,1376,1338,346.5,341.5,176.0196,172.4724
139,1376,1338,346.5,341.5,176.0196,172.4724
140,1376,1338,346.5,341.5,176.0076,172.4724
141,1376,1338,346.5,341.5,176.0076,172.4724
142,1376,1338,346.5,341.5,176.0076,172.4724
143,1376,1338,346.5,341.5,176.0076,172.4724
144,1376,1338,346.5,341.5,176.0076,172.4724
145,1376,1338,346.5,341.5,176.0076,172.4724
146,1376,1338,346.5,341.5,176.0076,172.4724
147,1360,1338,346.5,341.5,174.6088,172.4724
148,1360,1338,346.5,341.5,174.6088,172.4724
149,1356,1338,342.5,341.5,174.1632,172.4724
150,1356,1338,342.5,341.5,174.1632,172.4724
151,1356,1338,342.5,341.5,174.1632,172.4724
152,1356,1338,342.5,341.5,174.1632,172.4724
153,1356,1338,342.5,341.5,174.1536,172.4724
154,1356,1338,342.5,341.5,174.1536,172.4724
155,1356,1338,342.5,341.5,174.1512,172.4724
156,1356,1338,342.5,341.5,174.1512,172.4724
157,1356,1338,342.5,341.5,174.1512,172.4724
158,1356,1338,342.5,341.5,174.1512,172.4724
159,1356,1338,342.5,341.5,174.1512,172.4724
160,1356,1338,342.5,341.5,174.1512,172.4724
161,1356,1338,342.5,341.5,174.1512,172.4724
162,1356,1338,342.5,341.5,174.1512,172.4724
163,1356,1338,342.5,341.5,174.1512,172.4724
164,1356,1338,342.5,341.5,174.1512,172.4724
165,1356,1338,342.5,341.5,174.1512,172.4724
